1	2	59
1	3	62
2	1	59
2	3	46
2	13	23
3	1	62
3	2	46
3	4	177
3	14	79
4	3	177
4	5	30
4	9	164
5	4	30
5	6	128
6	5	128
6	7	62
6	31	79
7	6	62
7	8	171
7	30	151
7	31	43
8	7	171
8	9	85
8	18	115
8	30	108
9	4	164
9	8	85
9	10	20
9	18	95
10	9	20
10	12	85
10	13	89
10	14	56
12	10	85
12	13	62
12	14	92
12	15	36
13	2	23
13	10	89
13	12	62
14	3	79
14	10	56
14	12	92
15	12	36
15	18	89
15	1060	0
18	8	115
18	9	95
18	15	89
18	19	125
19	18	125
19	28	213
19	111	410
21	22	118
21	32	128
21	106	417
22	21	118
22	23	52
22	76	236
22	111	115
23	22	52
23	24	85
23	25	82
24	23	85
24	25	52
24	27	30
25	23	82
25	24	52
25	26	79
25	32	85
26	25	79
26	27	131
26	31	138
26	33	39
27	24	30
27	26	131
27	29	75
28	19	213
28	29	75
28	30	56
29	27	75
29	28	75
29	30	36
30	7	151
30	8	108
30	28	56
30	29	36
31	6	79
31	7	43
31	26	138
32	21	128
32	25	85
32	33	69
33	26	39
33	32	69
34	35	75
34	41	372
34	51	31
34	201	283
35	34	75
35	36	147
35	99	214
36	35	147
36	37	70
36	39	199
37	36	70
37	38	85
37	39	130
38	37	85
38	53	60
38	99	379
39	36	199
39	37	130
39	40	48
40	39	48
41	34	372
41	42	66
41	44	222
41	50	148
41	99	224
42	41	66
42	43	293
42	48	47
43	42	293
43	44	66
43	47	211
43	1011	0
44	41	222
44	43	66
44	45	165
45	44	165
45	46	145
45	47	107
46	45	145
47	43	211
47	45	107
48	42	47
48	50	80
49	50	128
50	41	148
50	48	80
50	49	128
50	51	398
51	34	31
51	50	398
51	52	92
52	51	92
53	38	60
53	54	274
53	57	369
54	53	274
54	55	72
54	56	115
55	54	72
55	56	92
55	102	40
55	104	77
56	54	115
56	55	92
56	57	211
56	104	82
57	53	369
57	56	211
57	58	146
57	59	164
57	61	222
58	57	146
58	59	75
58	300	50
58	1059	0
59	57	164
59	58	75
59	60	26
60	59	26
60	61	70
60	62	27
61	57	222
61	60	70
61	65	152
62	60	27
62	63	175
62	98	40
63	62	175
63	65	200
63	67	78
63	96	121
64	67	23
64	69	197
64	98	135
65	61	152
65	63	200
65	97	171
67	63	78
67	64	23
67	68	241
67	69	147
67	105	161
68	67	241
68	71	180
68	79	72
68	80	92
68	82	128
68	105	131
69	64	197
69	67	147
69	70	133
69	71	194
69	105	92
70	69	133
70	71	137
70	200	342
71	68	180
71	69	194
71	70	137
71	72	79
71	105	171
72	71	79
72	73	20
73	72	20
73	74	30
73	106	440
74	73	30
74	75	79
74	76	92
75	74	79
75	76	75
75	77	181
76	22	236
76	74	92
76	75	75
76	111	282
77	75	181
77	78	157
77	109	230
78	77	157
78	82	92
79	68	72
79	80	82
79	81	59
79	82	56
80	68	92
80	79	82
80	81	89
80	95	62
80	96	128
81	79	59
81	80	89
81	82	75
81	83	226
82	68	128
82	78	92
82	79	56
82	81	75
83	81	226
83	84	289
83	86	118
83	90	292
84	83	289
84	85	95
85	84	95
85	107	85
85	109	92
86	83	118
86	87	157
87	86	157
87	88	161
87	93	77
88	87	161
88	89	122
88	90	122
88	91	164
89	88	122
89	90	33
89	117	299
90	83	292
90	88	122
90	89	33
91	88	164
91	92	33
91	97	183
92	91	33
92	93	128
92	94	190
93	87	77
93	92	128
93	94	36
94	92	190
94	93	36
94	95	144
95	80	62
95	94	144
95	96	108
96	63	121
96	80	128
96	95	108
97	65	171
97	91	183
97	115	240
97	117	367
98	62	40
98	64	135
99	35	214
99	38	379
99	41	224
99	100	217
100	99	217
100	101	150
100	123	446
101	100	150
101	102	182
101	103	136
102	55	40
102	101	182
102	103	130
103	101	136
103	102	130
103	124	148
104	55	77
104	56	82
104	119	171
105	67	161
105	68	131
105	69	92
105	71	171
106	21	417
106	73	440
106	202	295
106	1027	0
107	85	85
107	108	92
108	107	92
108	109	131
108	110	246
109	77	230
109	85	92
109	108	131
109	110	95
110	108	246
110	109	95
110	111	92
111	19	410
111	22	115
111	76	282
111	110	92
112	113	82
112	116	187
112	131	200
113	112	82
113	114	60
114	113	60
114	116	187
115	97	240
116	112	187
116	114	187
116	117	197
117	89	299
117	97	367
117	116	197
119	104	171
119	120	146
119	130	168
120	119	146
120	121	65
120	124	121
120	125	75
121	120	65
121	122	45
121	125	98
122	121	45
122	123	107
122	124	115
123	100	446
123	122	107
123	124	144
123	132	50
124	103	148
124	120	121
124	122	115
124	123	144
125	120	75
125	121	98
125	126	179
125	128	104
125	130	58
126	125	179
126	127	68
127	126	68
127	135	157
128	125	104
128	129	101
129	128	101
129	130	93
129	144	164
130	119	168
130	125	58
130	129	93
131	112	200
131	143	400
132	123	50
132	133	257
133	132	257
133	138	250
134	135	50
134	136	143
135	127	157
135	134	50
136	134	143
136	137	121
136	138	243
137	136	121
138	133	250
138	136	243
139	140	71
